"id","room_class_code","name","created_at","updated_at"
"1","dd912831-da6b-4e25-b3b3-c69e6b04fe5e","VVIP","2017-04-27 07:43:54","2017-04-27 07:43:54"
"2","c7acd6dd-45d6-4672-b866-74fbbba1074b","VIP","2017-04-27 07:43:54","2017-04-27 07:43:54"
"3","5a82b486-f681-4ce1-ad6e-e88f2195ccb7","Utama","2017-04-27 07:43:54","2017-04-27 07:43:54"
"4","b16a17d7-310c-4793-81c7-b23c31c32e38","Isolasi","2017-04-27 07:43:54","2017-04-27 07:43:54"
"5","23344a02-6459-442a-b6c7-5f0019ae2964","I","2017-04-27 07:43:54","2017-04-27 07:43:54"
"6","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","II","2017-04-27 07:43:54","2017-04-27 07:43:54"
"7","d96a71fc-8ee6-460e-a4b5-cb5e3b703b2e","III","2017-04-27 07:43:54","2017-04-27 07:43:54"
