"bed_code","room_class_code","room_code"
"00094c5e-ba5f-428c-bca2-8385708dcf09","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","40ec1069-f33c-46eb-9862-06fa8582b7d4"
"082269aa-3b67-41e1-8197-755396bf67c8","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","374585ef-eba8-406b-a636-42b28b958e77"
"091a75f6-838b-46dc-bf95-38ec5dd5aa5d","b16a17d7-310c-4793-81c7-b23c31c32e38","5c7c8805-0447-4afc-a4da-674403b68a3e"
"0bfbbb45-d631-40d4-ae5b-ebc961c121fd","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","8321e2e9-9699-48e0-87ee-e5f43eb647ce"
"0c1c8e27-e5da-42c8-9766-d8b2c0df7613","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","4799d8b7-9812-45a6-8855-c9f18ed4d7d9"
"0cae71a6-a846-4cf1-8a3f-d298702951c3","b16a17d7-310c-4793-81c7-b23c31c32e38","bcfc2930-8d5a-4d57-a7d0-d4cbf493474d"
"0d9308f7-2713-4a94-a42a-c08d89b3b7a2","c7acd6dd-45d6-4672-b866-74fbbba1074b","fc6e418b-c1d7-4312-ad77-200d39bc4c8b"
"0ee85a74-56cf-449e-af44-f029aadcd1b4","c7acd6dd-45d6-4672-b866-74fbbba1074b","6fc2fbfc-ddea-4352-b062-b4beb784bcd2"
"0f741b5f-38e0-4379-a1f0-bacd82e0dcef","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","007b66ea-b700-4fa0-b254-e166e818e653"
"12117277-8fff-4c4b-bd81-3be3d9525a47","d96a71fc-8ee6-460e-a4b5-cb5e3b703b2e","fa4425e7-abaa-480b-98fb-15fc0449daa5"
"133400b1-1b9d-4667-abdf-7320277861cc","e67f2ff0-d0c7-4c47-adec-1f1ed9d130d4","374585ef-eba8-406b-a636-42b28b958e77"
"17b51e53-a761-4838-b4c1-8bbddbd51fdb","c7acd6dd-45d6-4672-b866-74fbbba1074b","b6ef4756-d6c1-4c2e-8003-f1c5641a545d"
